nombre,productor,duracionMin,fotoCartelera,linkTrailer
El Señor de los Anillos,Peter Jackson,178,lotr_poster.jpg,https://youtube.com/lotr_trailer
Matrix,Lana Wachowski,136,matrix_poster.jpg,https://youtube.com/matrix_trailer
Avatar,James Cameron,162,avatar_poster.jpg,https://youtube.com/avatar_trailer
Toy Story,John Lasseter,81,toystory_poster.jpg,https://youtube.com/toystory_trailer
Jurassic Park,Steven Spielberg,127,jurassic_poster.jpg,https://youtube.com/jurassic_trailer
Star Wars: Una Nueva Esperanza,George Lucas,121,starwars_poster.jpg,https://youtube.com/starwars_trailer
Harry Potter y la Piedra Filosofal,Chris Columbus,152,harrypotter_poster.jpg,https://youtube.com/harrypotter_trailer
The Dark Knight,Christopher Nolan,152,batman_poster.jpg,https://youtube.com/batman_trailer
Forrest Gump,Robert Zemeckis,142,forrest_poster.jpg,https://youtube.com/forrest_trailer
Pulp Fiction,Quentin Tarantino,154,pulp_poster.jpg,https://youtube.com/pulp_trailer